cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,71,Unemployed/ looking for work,Female,Bachelor degree,More immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,29,3.0,3.0,3.0,1.0
Anglican,Ontario,55,Working for pay full-time,Female,Master degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,45,1.0,5.0,5.0,4.0
Protestant,Ontario,71,Self employed,Female,Some university,Fewer immigrants,Canadian,Stayed about the same,2,People Party,Strongly agree,Somewhat agree,Strongly agree,29,1.0,5.0,5.0,4.0
Protestant,Ontario,45,Working for pay full-time,Female,Completed elementary school,Fewer immigrants,Canadian,Got better,3,Liberal,Strongly agree,Somewhat agree,Strongly agree,55,1.0,5.0,5.0,4.0
Catholic,Alberta,33,Unemployed/ looking for work,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Strongly agree,67,1.0,5.0,5.0,5.0
Baptist,Nova Scotia,41,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,1,Liberal,Somewhat disagree,Somewhat disagree,Somewhat agree,59,1.0,4.0,2.0,2.0
Catholic,Ontario,19,Retired,Male,Some university,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Somewhat agree,Somewhat agree,81,1.0,4.0,4.0,4.0
Catholic,Nova Scotia,38,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,62,2.0,2.0,3.0,2.0
Catholic,Quebec,35,Working for pay part-time,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,65,2.0,2.0,4.0,1.0
Protestant,Quebec,22,Retired,Male,Master degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,78,3.0,1.0,1.0,1.0
Catholic,Ontario,33,Retired,Female,Completed technical,More immigrants,Canadian,Got worse,1,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,67,3.0,1.0,2.0,1.0
Salvation Army,Alberta,39,Disabled,Female,Some university,More immigrants,Canadian,Stayed about the same,3,NDP,Strongly disagree,Strongly disagree,Strongly disagree,61,3.0,1.0,1.0,1.0
Anglican,Ontario,35,Working for pay full-time,Male,Completed technical,Fewer immigrants,Immigrant,Got worse,3,Liberal,Strongly agree,Strongly agree,Strongly agree,65,1.0,5.0,5.0,5.0
Catholic,Ontario,79,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Immigrant,Got better,2,NDP,Somewhat disagree,Somewhat disagree,Strongly disagree,21,1.0,1.0,2.0,2.0
Atheist,Ontario,52,Self employed,Male,Some technical,More immigrants,Canadian,Stayed about the same,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,48,3.0,1.0,1.0,1.0
Catholic,Quebec,14,Retired,Male,Some technical,About the same number of immigrants as now,Canadian,Got better,2,Bloc Québécois,Strongly agree,Somewhat disagree,Somewhat disagree,86,2.0,2.0,5.0,2.0
Atheist,Ontario,55,Working for pay full-time,Male,Master degree,More immigrants,Canadian,Got worse,2,Liberal,Strongly agree,Somewhat agree,Somewhat agree,45,3.0,4.0,5.0,4.0
Atheist,Manitoba,44,Disabled,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,3,Not voted,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,56,1.0,3.0,5.0,3.0
United Church of Canada,Ontario,34,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,3,Conservative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,66,3.0,2.0,3.0,3.0
Muslim,Quebec,28,Retired,Male,Completed technical,More immigrants,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,72,3.0,1.0,4.0,2.0
Catholic,Ontario,26,Retired,Female,Master degree,More immigrants,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,74,3.0,1.0,3.0,1.0
Lutheran,British Columbia,26,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,74,1.0,3.0,3.0,2.0
Presbyterian,Ontario,32,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,68,1.0,4.0,5.0,2.0
Atheist,New Brunswick,25,Retired,Female,Some university,More immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,75,3.0,1.0,4.0,1.0
Catholic,Saskatchewan,29,Retired,Other,Some technical,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,71,2.0,1.0,4.0,2.0
Catholic,Ontario,29,Retired,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,NDP,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,71,1.0,3.0,3.0,2.0
Atheist,Quebec,60,Working for pay full-time,Male,Master degree,Fewer immigrants,Immigrant,Stayed about the same,1,Conservative,Strongly agree,Strongly agree,Strongly agree,40,1.0,5.0,5.0,5.0
Atheist,British Columbia,46,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat agree,Strongly disagree,Somewhat disagree,54,2.0,2.0,4.0,1.0
Atheist,Ontario,24,Retired and working for pay,Male,Some university,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,76,2.0,3.0,4.0,3.0
Catholic,Ontario,73,Working for pay full-time,Male,Completed technical,More immigrants,Canadian,Stayed about the same,1,NDP,Somewhat disagree,Strongly disagree,Somewhat disagree,27,3.0,2.0,2.0,1.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Alberta,35,Retired,Female,Some technical,More immigrants,Immigrant,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Strongly disagree,65,3.0,1.0,4.0,4.0
Baptist,Ontario,50,Working for pay part-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,1,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,50,2.0,2.0,4.0,3.0
United Church of Canada,Ontario,43,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,1,Conservative,Strongly agree,Somewhat agree,Somewhat agree,57,1.0,4.0,5.0,4.0
Catholic,Ontario,54,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,46,2.0,1.0,4.0,2.0
United Church of Canada,British Columbia,29,Retired,Male,Master degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,71,1.0,2.0,4.0,3.0
Catholic,New Brunswick,51,Disabled,Male,Some elementary school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly agree,Somewhat agree,Somewhat disagree,49,2.0,2.0,5.0,4.0
Catholic,Ontario,68,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,32,2.0,4.0,5.0,3.0
Jewish,Ontario,24,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Strongly disagree,Strongly disagree,Somewhat disagree,76,2.0,2.0,1.0,1.0
Presbyterian,Ontario,25,Self employed,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Strongly agree,75,1.0,5.0,5.0,4.0
Atheist,New Brunswick,26,Retired,Female,Bachelor degree,More immigrants,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,74,3.0,1.0,3.0,1.0
Catholic,Ontario,55,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,45,1.0,4.0,4.0,2.0
Jewish,Ontario,40,Disabled,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,NDP,Somewhat agree,Neither agree nor disagree,Strongly disagree,60,1.0,1.0,4.0,3.0
Catholic,Alberta,44,Working for pay part-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,NDP,Strongly agree,Neither agree nor disagree,Somewhat agree,56,1.0,4.0,5.0,3.0
Catholic,British Columbia,30,Retired,Male,Some university,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Strongly disagree,70,2.0,1.0,5.0,2.0
Orthodox,Manitoba,26,Retired,Female,Some university,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,74,1.0,5.0,5.0,5.0
United Church of Canada,Ontario,14,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,86,2.0,2.0,5.0,2.0
Atheist,Ontario,62,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,People Party,Somewhat agree,Somewhat agree,Somewhat agree,38,1.0,4.0,4.0,4.0
Agnostic,Ontario,46,Self employed,Male,Some university,Fewer immigrants,Canadian,Stayed about the same,3,NDP,Somewhat agree,Neither agree nor disagree,Somewhat agree,54,1.0,4.0,4.0,3.0
Atheist,Ontario,34,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Strongly agree,Somewhat agree,Neither agree nor disagree,66,2.0,3.0,5.0,4.0
Catholic,Ontario,46,Working for pay full-time,Female,Master degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,54,1.0,5.0,5.0,5.0
Atheist,Ontario,45,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,55,2.0,2.0,3.0,2.0
United Church of Canada,Alberta,13,Retired,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,1,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,87,1.0,3.0,4.0,4.0
Atheist,British Columbia,35,Working for pay part-time,Male,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Neither agree nor disagree,Strongly disagree,Somewhat disagree,65,2.0,2.0,3.0,1.0
Anglican,Nova Scotia,42,Working for pay part-time,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,NDP,Somewhat agree,Somewhat disagree,Neither agree nor disagree,58,1.0,3.0,4.0,2.0
Jehovahs Witness,British Columbia,45,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly agree,Somewhat disagree,Somewhat agree,55,2.0,4.0,5.0,2.0
Agnostic,Ontario,57,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Strongly agree,Somewhat agree,Neither agree nor disagree,43,2.0,3.0,5.0,4.0
Protestant,Alberta,35,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Somewhat agree,Neither agree nor disagree,65,1.0,3.0,4.0,4.0
Protestant,British Columbia,36,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,64,2.0,2.0,4.0,2.0
Catholic,Ontario,50,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Strongly agree,Strongly agree,50,1.0,5.0,5.0,5.0
Anglican,Ontario,39,Working for pay part-time,Male,Completed technical,Fewer immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,61,1.0,4.0,3.0,3.0
Catholic,Ontario,44,Working for pay part-time,Male,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,56,2.0,2.0,4.0,2.0
Catholic,Ontario,27,Working for pay part-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,73,1.0,3.0,4.0,3.0
Atheist,British Columbia,64,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Somewhat agree,Strongly disagree,36,2.0,1.0,4.0,4.0
Muslim,British Columbia,59,Working for pay full-time,Male,Completed technical,Fewer immigrants,Immigrant,Stayed about the same,3,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,41,1.0,1.0,4.0,1.0
Baptist,New Brunswick,37,Caring for a family,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,63,2.0,2.0,4.0,2.0
Catholic,Alberta,37,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,63,1.0,5.0,5.0,5.0
Jewish,Alberta,63,Working for pay full-time,Male,Master degree,More immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Strongly disagree,37,3.0,1.0,4.0,3.0
Presbyterian,Ontario,47,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,53,3.0,2.0,3.0,3.0
Atheist,Quebec,70,Student,Other,Master degree,More immigrants,Canadian,Got better,1,NDP,Strongly disagree,Strongly disagree,Strongly disagree,30,3.0,1.0,1.0,1.0
Agnostic,Ontario,40,Caring for a family,Female,Completed elementary school,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Neither agree nor disagree,Strongly disagree,Somewhat disagree,60,2.0,2.0,3.0,1.0
Mennonite,Ontario,69,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Neither agree nor disagree,31,2.0,3.0,4.0,1.0
Atheist,Nova Scotia,45,Retired,Female,Some university,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,55,3.0,1.0,2.0,1.0
Catholic,Saskatchewan,30,Retired,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Neither agree nor disagree,70,1.0,3.0,5.0,4.0
Catholic,Ontario,32,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,68,2.0,1.0,2.0,2.0
United Church of Canada,Ontario,34,Retired,Female,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Somewhat disagree,Somewhat disagree,66,2.0,2.0,2.0,2.0
Agnostic,Newfoundland,63,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,NDP,Strongly agree,Strongly disagree,Somewhat disagree,37,1.0,2.0,5.0,1.0
United Church of Canada,Ontario,46,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,54,2.0,1.0,1.0,1.0
Orthodox,Quebec,40,Working for pay part-time,Male,Completed secondary/ high school,Fewer immigrants,Immigrant,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,60,1.0,3.0,5.0,3.0
Agnostic,Saskatchewan,31,Retired,Male,Some university,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,69,2.0,2.0,3.0,2.0
Atheist,Alberta,72,Student,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,1,Conservative,Neither agree nor disagree,Somewhat disagree,Strongly disagree,28,1.0,1.0,3.0,2.0
Catholic,Ontario,66,Self employed,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,34,1.0,3.0,4.0,4.0
Atheist,British Columbia,26,Self employed,Male,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Green Party,Somewhat agree,Neither agree nor disagree,Somewhat disagree,74,2.0,2.0,4.0,3.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,British Columbia,68,Working for pay full-time,Male,Professional degree or doctorate,More immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Strongly disagree,32,3.0,1.0,5.0,2.0
United Church of Canada,Ontario,23,Retired,Female,Bachelor degree,Fewer immigrants,Immigrant,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,77,1.0,2.0,4.0,2.0
